ID,캐릭터이름,대사,
1,노아 베일리스,§노아1§음' 안녕하십니까.,
,,§노아1§괜찮으시다면 ⓨ커피ⓦ라도 한잔 \n 내 오겠습니다만.,
2,엘라 트리스,§노아2§아... 전 괜찮습니다.,
,,§노아2§지금은 별로 생각이 없네요.※심,
3,노아 베일리스,§노아1§그렇군요. 알겠습니다.,
4,,보기에 그녀는 상당히 당황스러워 보입니다.☆,
5,,오늘은 10월 14일 입니다.\n당신은 사무실에서 쉬고있습니다.,
6,,오늘도 신문에는 특별한 내용은 없습니다.\n그저 행성대직렬에 대한 이야기가,
,,가장 큰 이슈라는 것은 알 수 있었습니다.,
7,엘라 트리스,§노아2§그럴수가.. 그이는 그럼 죽은건가요?,
8,노아 베일리스,§노아1§아무래도 그런것 같습니다 부인.. 죄송합니다.,
9,엘라 트리스,§노아2§그럴수가...,
10,,그녀는 할말을 잃은것 같네요. \n더이상 대화하긴 힘들어보입니다,
11,,그를 살렸습니다!,
12,,그녀의 손과 눈이 조금 떨리고 있는 것이 보입니다.,엘라심리학성공
,,아무래도 그녀는 긴장을 크게 하고 있는것 같습니다.,
13,,당신은 그녀의 얼굴을 보았지만 별다른 특징을 잡아내지 못했습니다.,엘라심리학실패
14,,이른 아침^ 당신은 당신의 탐정 사무소에서 여유롭게 신문을 읽고 있습니다.,
,,최근 들어서는 들어오는 의뢰도 없고 해서 슬슬 \n이 한가로움이 무료하다고 느껴질 정도입니다.,이 아래부터는 찐으로 만들어 본 것.
,,사무소장도 내색하지는 않지만 당신이 빨리 일해줬으면-  \n하고 생각하고 있다는것이  어렴풋이 느껴집니다.,
15,노아 베일리스,§노아1§(그렇지만 이렇게 평화로운 시간도 나쁘진 않지),
16,,읽고 있던 신문의 뒤쪽^ 오늘의 특종란을 보니 눈에 도드라지는 \n태양계의 모습을 그린 삽화와 함께 기사가 적혀 있습니다,
17,노아 베일리스,§노아1§3일뒤 새벽인 7월 14일 새벽 3시경... 지구와 태양을 포함한 \n7개 행성과 별이 일렬로 늘어서는 '행성 대직렬'이 일어난다.,
,,이것은 이전의 대직렬에서 약 2000년만에 돌아오는 현상으로... \n흠...,
,,과학자들이 또 돈이 부족해졌나 보군. ,
18,,당신은 낮게 읊조리며 다시 고개를 들어 창밖을 잠시 봅니다. ,
